type,wgl,date,loc,vip,price
奔驰E级(进口) 2021款 E 260 轿跑车,1.77,2021/5/1,合肥,1年黑金会员,40.6
发现 2021款 360PS R-Dynamic SE,2.8,2021/9/1,北京,8年黄金会员,62.6
杰德 2016款 1.8L 自动舒适精英版 5座,10.4,2016/10/1,深圳,1年会员,7.68
奔驰V级 2018款 V 260 领航版 国VI,2.24,2019/10/1,成都,12年黑金会员,33.6
牧马人 2022款 2.0T 高地四门版,1.17,2022/5/1,合肥,11年钻石会员,45.8
揽胜 2020款 3.0 L6 传世加长版,4.5,2020/5/1,济南,12年黄金会员,127.8
总裁 2013款 3.0T 标准型,9.8,2014/8/1,合肥,9年钻石会员,37.9
雷凌 2017款 改款 185T CVT精英版 国V,3.87,2018/4/1,成都,12年黑金会员,7.2
奥迪A5 2014款 Coupe 45 TFSI,14,2013/10/1,无锡,11年黑金会员,11.58
奥迪A8 2019款 Plus A8L 50 TFSI quattro 舒适型,4,2020/3/1,合肥,9年钻石会员,54.8
揽胜 2021款 3.0 L6 传世版,2.83,2022/3/1,合肥,11年钻石会员,123.8
威飒 2022款 双擎 2.5L CVT四驱至尊版,0.6,2022/4/1,东莞,9年黄金会员,24.38
宝马X5 2022款 xDrive 30Li M运动套装,1.71,2022/5/1,西安,8年钻石会员,58.5
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,5.8,2022/2/1,珠海,9年黄金会员,34.68
吉姆尼(进口) 2012款 1.3 AT JLX,4.7,2014/7/1,成都,9年黑金会员,9.5
悦动 2011款 1.6L 自动舒适型,4.07,2014/9/1,深圳,8年黄金会员,3.38
宝马X1 2021款 sDrive25Li 领先型,2.8,2021/9/1,北京,1年黑金会员,19.78
福特F-150 2022款 3.5T 自动,2.8,2022/6/1,郑州,9年钻石会员,52.5
沃尔沃XC40 2021款 T3 智行时尚版,2.14,2020/10/1,上海,6年钻石会员,14.98
宝马X1 2021款 sDrive25Li 领先型,2.8,2021/9/1,北京,1年黑金会员,19.78
奔驰C级 2020款 C 200 L 时尚型运动版,3.6,2021/2/1,福州,3年钻石会员,23.58
宝马6系GT 2020款 630i 豪华设计套装,2.85,2020/9/1,北京,1年黑金会员,40.8
宝马X1 2022款 sDrive20Li 尊享型,0.52,2023/3/1,北京,1年黑金会员,19.68
奥迪A5 2021款 Cabriolet 40 TFSI 时尚动感型,2.6,2021/8/1,合肥,10年黄金会员,36.58
奔驰CLS 2020款 CLS 300 动感型,4.9,2020/9/1,佛山,10年钻石会员,45.88
威霆 2023款 2.0T 精英版 7座,0.01,2023/7/1,石家庄,1年黄金会员,38.38
奥迪A6L 2018款 30周年年型 TFSI 进取型,5,2018/2/1,郑州,6年黄金会员,22.5
Panamera 2021款 Panamera 2.9T,0.8,2021/3/1,南京,11年黑金会员,99.8
奥迪RS 3 2017款 RS 3 2.5T Limousine,4.96,2019/1/1,成都,9年黑金会员,35.68
雷克萨斯ES 2020款 300h 卓越版,5.5,2020/1/1,东莞,9年黄金会员,29.88
牧马人 2021款 2.0T 撒哈拉四门版,2.6,2022/3/1,唐山,1年钻石会员,39.7
揽胜 2021款 3.0T 加规版,3.4,2022/5/1,杭州,8年黄金会员,118.8
别克GL8 2022款 Avenir艾维亚 四座尊礼版,0.81,2023/3/1,西安,8年钻石会员,45
揽胜运动版 2020款 3.0 L6 HST,7.6,2020/11/1,青岛,1年黑金会员,72.8
宝马X5(进口) 2018款 xDrive28i,4.8,2018/6/1,成都,12年黑金会员,37.98
奔驰E级 2020款 改款 E 300 L 殊享版,8,2020/9/1,广州,3年黄金会员,38.38
凯迪拉克XTS 2018款 28T 精英型,3.7,2019/9/1,北京,9年黄金会员,17.5
奥迪A4L 2020款 40 TFSI 豪华动感型,4.8,2021/4/1,广州,11年钻石会员,22.98
宝马X7 2020款 xDrive40i 尊享型M运动套装,8.4,2020/7/1,成都,2年黄金会员,73.8
宝马X1 2020款 sDrive25Li 领先型,4.01,2020/7/1,北京,1年黑金会员,18.68
Panamera 2014款 Panamera 3.0T,5.4,2015/6/1,重庆,1年黑金会员,41.9
飞行家 2020款 3.0T V6 四驱尊享版,5,2021/1/1,成都,2年黄金会员,41.8
雷克萨斯ES 2013款 250 精英版,13,2012/11/1,东莞,3年黄金会员,10.98
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,0.72,2022/10/1,北京,1年黑金会员,37.68
威霆 2021款 2.0T 商务版 7座,7.5,2021/9/1,石家庄,1年黄金会员,34.98
宝马5系 2020款 530Li 领先型 豪华套装,7.68,2020/8/1,深圳,13年钻石会员,32.98
宝马X1 2021款 xDrive25Li 尊享型,1.75,2021/5/1,北京,1年黑金会员,23.28
宝马X1 2022款 sDrive20Li 时尚型,1.57,2022/7/1,北京,1年黑金会员,19.38
宝马3系 2022款 325i M运动套装,2.02,2022/1/1,北京,1年黑金会员,25.68
宝马1系 2021款 改款 125i M运动曜夜版,2.32,2021/1/1,北京,1年黑金会员,14.98
奔驰GLE 2021款 GLE 350 4MATIC 时尚型,3,2021/9/1,南京,11年黑金会员,62.8
保时捷911 2022款 Targa 4 3.0T,1.6,2022/3/1,成都,2年黄金会员,167.8
Macan 2022款 Macan 2.0T,0.5,2022/4/1,南京,11年黑金会员,56.9
奥迪Q5L 2020款 40 TFSI 荣享时尚型,6.2,2021/4/1,广州,11年钻石会员,28.3
奥迪A7 2021款 45 TFSI 专享型,0.01,2023/1/1,成都,12年黑金会员,63.8
Mustang 2017款 2.3T 性能版,3.8,2018/5/1,唐山,13年钻石会员,19.9
保时捷718 2016款 Cayman 2.0T,7,2017/8/1,南京,11年黑金会员,38.8
奥迪A6L 2016款 30 FSI 技术型,13.6,2016/9/1,成都,2年黄金会员,19.2
埃尔法 2021款 双擎 2.5L 尊贵版,7.4,2021/3/1,成都,2年黄金会员,93.8
宝马X5(进口) 2017款 xDrive28i,11.8,2017/2/1,广州,3年黄金会员,29.38
揽胜 2020款 3.0 L6 传世加长版,7.2,2020/3/1,成都,2年黄金会员,128.8
别克GL8 2020款 ES陆尊 653T 尊享型,8,2021/1/1,济南,1年黄金会员,28.3
普拉多 2016款 2.7L 自动标准版,8.1,2017/10/1,沈阳,2年黄金会员,32.28
宝马X3 2018款 xDrive28i M运动套装 国VI,6.07,2019/5/1,杭州,11年黄金会员,25.98
宝马X3 2021款 xDrive25i M运动套装,2.76,2021/8/1,北京,1年黑金会员,28.8
宝马1系 2022款 125i M运动曜夜版,0.01, ,北京,1年黑金会员,16.8
宝马X5 2022款 xDrive 40Li 尊享型M运动套装,0.28, ,北京,1年黑金会员,72.5
Panamera新能源 2021款 Panamera 4 E-Hybrid 行政加长版 2.9T,1.9,2021/8/1,上海,1年黄金会员,109.8
宝马1系 2021款 120i M运动曜夜版,2.5,2021/3/1,北京,1年黑金会员,12.58
奔驰S级 2021款 S 450 L,2.7,2021/8/1,唐山,13年钻石会员,97
发现 2015款 3.0 SC V6 SE,8.31,2015/1/1,成都,2年黄金会员,36.8
悦纳 2016款 1.4L 自动活力版SPORT,1.6,2018/2/1,汕头,6年黄金会员,5.3
宝马3系 2021款 330i M运动曜夜套装,1.98,2021/4/1,北京,1年黑金会员,28.78
宝马1系 2022款 125i M运动曜夜版,0.01, ,北京,1年黑金会员,16.8
宝马X5 2022款 xDrive 40Li 尊享型M运动套装,0.28, ,北京,1年黑金会员,72.5
埃尔法 2018款 改款 3.5L 尊贵版,2.4,2019/5/1,上海,1年黄金会员,95.8
Panamera新能源 2021款 Panamera 4 E-Hybrid 行政加长版 2.9T,1.9,2021/8/1,上海,1年黄金会员,109.8
宝马1系 2021款 120i M运动曜夜版,2.5,2021/3/1,北京,1年黑金会员,12.58
奥迪Q3 Sportback 2022款 40 TFSI 时尚型,0.3,2022/11/1,大连,11年钻石会员,24.98
奔驰S级 2021款 S 450 L,2.7,2021/8/1,唐山,13年钻石会员,97
发现 2015款 3.0 SC V6 SE,8.31,2015/1/1,成都,2年黄金会员,36.8
悦纳 2016款 1.4L 自动活力版SPORT,1.6,2018/2/1,汕头,6年黄金会员,5.3
保时捷911 2016款 Carrera 3.0T,1.5,2017/7/1,唐山,13年钻石会员,77
宝马3系 2021款 330i M运动曜夜套装,1.98,2021/4/1,北京,1年黑金会员,28.78
奥迪A6L 2021款 40 TFSI 豪华动感型,2.58,2021/3/1,郑州,14年钻石会员,32.6
宝马7系 2021款 740Li 领先型 M运动套装,3,2020/12/1,西安,4年黑金会员,62.6
揽胜运动版 2021款 3.0 L6 耀黑版,3.6,2021/6/1,南京,7年黄金会员,78.98
宝马7系 2019款 740Li 领先型 M运动套装,4.5,2020/8/1,西安,3年黄金会员,59.58
宝马5系新能源 2022款 改款二 535Le 先锋版M运动套装,1.1,2022/4/1,淄博,11年黑金会员,36.9
奔驰E级 2021款 E 300 L 运动时尚型,4.5,2021/5/1,苏州,3年黄金会员,39.28
奔驰E级 2021款 E 300 L 豪华型,4.53,2021/4/1,苏州,3年黄金会员,43.58
宝来 2021款 1.5L 自动时尚智联版,0.5,2022/9/1,长春,11年黑金会员,7.98
奥迪A4L 2013款 35 TFSI 自动技术型,13.3,2013/3/1,上海,11年钻石会员,7.8
凯路威 2018款 2.0TSI 四驱豪华版 7座,5.5,2018/7/1,西安,3年黄金会员,29.8
奔驰C级 2019款 C 260 运动版,6,2018/11/1,成都,2年黄金会员,19.98
奥德赛 2022款 2.0L e:HEV 锐·耀享版,3.3,2022/1/1,东莞,6年黄金会员,25.9
埃尔法 2023款 双擎 2.5L 臻享·黄金版,0.01, ,上海,1年钻石会员,108
雷克萨斯LX 2019款 570 动感豪华版,6.3,2019/4/1,沈阳,13年黄金会员,139.8
奔驰S级 2021款 S 450 L 4MATIC,2.34,2021/8/1,成都,12年黑金会员,103.8
Panamera 2019款 Panamera 2.9T,4,2020/1/1,成都,12年黑金会员,87.8
凯迪拉克CT5 2020款 28T 豪华型,5.8,2020/5/1,成都,2年黄金会员,19.8
Panamera 2019款 Panamera 行政加长版 2.9T,3.7,2020/8/1,南京,7年黄金会员,99.98
奥迪A6(进口) 2018款 3.0T allroad quattro,11,2017/11/1,成都,1年黄金会员,26.8
凯迪拉克CT5 2021款 28T 豪华型,4.1,2021/5/1,成都,2年黄金会员,21.5
威霆 2021款 2.0T 商务版 7座,1.86,2022/3/1,成都,12年黑金会员,35.5
亚洲龙 2019款 双擎 2.5L XLE尊贵版 国VI,6.6,2021/1/1,淄博,11年黑金会员,16.88
奥迪A3 2020款 Limousine 35 TFSI 风尚型 国VI,5.5,2020/8/1,佛山,2年黄金会员,12.78
保时捷718 2020款 Boxster 2.0T,1.65,2021/6/1,成都,12年黑金会员,55.8
奔驰GLS 2017款 GLS 500 4MATIC,11.1,2017/11/1,北京,8年黄金会员,66.8
奔驰C级 2022款 C 260 L 运动版,2.6,2021/10/1,昆明,4年黄金会员,30.5
宝马5系 2019款 525Li M运动套装,5.2,2019/3/1,济南,11年黄金会员,28.8
AION S Plus 2022款 70 智领版,0.7,2023/1/1,东莞,9年黄金会员,13.5
菲斯塔 2019款 280TGDi 智速版 国VI,3.7,2021/3/1,石家庄,1年黄金会员,9.68
奥迪A6L 2018款 30周年年型 35 TFSI 时尚型,10.7,2018/4/1,沈阳,1年黄金会员,19.98
奥迪A3 2022款 A3L Limousine 35 TFSI 进取致雅型,0.24,2022/2/1,上海,11年钻石会员,15.18
奥迪A6L 2021款 45 TFSI 臻选动感型,5.2,2021/7/1,济南,2年黄金会员,33
奥迪A4L 2020款 40 TFSI 豪华动感型,9.45,2020/6/1,济南,2年黄金会员,21.5
奥迪Q7 2011款 3.0 TFSI 舒适型(200kW),16,2010/9/1,北京,12年黄金会员,11.99
ID.4 X 2021款 1st Edition ID.初见版,1.9,2021/7/1,上海,11年钻石会员,13.58
雷克萨斯LX 2017款 570 尊贵豪华版,6,2019/8/1,唐山,2年黄金会员,146.2
英朗 2015款 15N 自动豪华型,7.8,2015/9/1,上海,7年黄金会员,4.79
AMG GT 2019款 AMG GT 50 四门跑车,3.05,2020/6/1,南宁,3年黄金会员,71.66
Macan 2021款 Macan 2.0T,1.5,2022/1/1,北京,1年黄金会员,53.9
捷豹XJ 2015款 XJL 3.0 SC 典雅商务80周年典藏版,7.5,2016/8/1,长沙,10年钻石会员,23.8
揽胜 2016款 3.0 SC V6 Vogue SE 创世加长版,10.6,2016/1/1,唐山,2年黄金会员,79
别克GL8 2022款 ES陆尊 653T 舒适型,0.9,2022/6/1,唐山,2年黄金会员,33.5
奥迪Q5L 2022款 40T 豪华动感型,2.5,2022/1/1,唐山,2年黄金会员,32.2
高尔夫 2019款 280TSI DSG旗舰型 国V,3.7,2019/3/1,郑州,9年黄金会员,10.98
